Variation;Size;Date;Color;Location;Photo;Extension
512;60 x 60;2003/06;;BC;DHM512;.HEIC
513;;;;;DHM513;.HEIC
514;73 x 60;2003/07;;BC;DHM514;.HEIC
515;81 x 65 ;2003/07;;BC;DHM515;.HEIC
516;81 x 60;2003/07;;Vineyard Conservation Society;DHM516;.HEIC
517;;;;;DHM517;.HEIC
518;60 x 92;2004/05;Bleu ciel;B;DHM518;.HEIC
519;73 x 60;2004/05;;San Joaquin Gal Hospital;DHM519;.HEIC
520;81 x 60;2004/05;;BC;DHM520;.HEIC
521;81 x 54;2004/05;;BC;DHM521;.HEIC
522;100 x 73;2004/11;;BC;DHM522;.HEIC
523;81 x 65;2004/07;;BC;DHM523;.HEIC
524;80 x 80;2004/07;;BC;DHM524;.HEIC
525;65 x 54;2004/09;;BC;DHM525;.HEIC
526;81 x 65;2004/07;;BC;DHM526;.HEIC
527;73 x 60;2004/07;;BC;DHM527;.HEIC
528;92 x 73;2004/07;Bleu;B;DHM528;.HEIC
529;80 x 80;2004/08;;Vineyard Conservation Society;DHM529;.HEIC
530;;;;;DHM530;.HEIC
531;;2005/06;;Michael Argyres;DHM531;.HEIC
532;;;;;DHM532;.HEIC
533;;;;;DHM533;.HEIC
534;81 x 65;2005/07;;BC;DHM534;.HEIC
535;73 x 60 ;2005/07;Bleu;BH Vendu;DHM535;.HEIC
536;;;;;DHM536;.HEIC
537;60 x 73;2005/06;Bleu fonc?;B;DHM537;.HEIC
538;81 x 60;2005/12;;BC;DHM538;.HEIC
539;81 x 60;2005/08;;BC;DHM539;.HEIC
540;73 x 60 ;2005/08;Vert;B;DHM540;.HEIC
541;65 x 81;2005/09;;BC;DHM541;.HEIC
542;65 x 81;2005/08;Mauve;BH Vendu;DHM542;.HEIC
543;73 x 60;2005/08;Mauve;P;DHM543;.HEIC
544;73 x 60 ;2005/08;Mauve;P;DHM544;.HEIC
545;;;;;DHM545;.HEIC
546;;;;;DHM546;.HEIC
547;;;;;DHM547;.HEIC
548;65 x 54;2006/08;Gris fonc?;Nadezda;DHM548;.HEIC
549;92 x 73;2006/08;;BC;DHM549;.HEIC
550;60 x 81;2008/09;Bleu;B;DHM550;.HEIC
551;;2006;;Lucy & Peter Sprayregen, Marion, MA;DHM551;.HEIC
552;80 x 80;2006/09;;BC;DHM552;.HEIC
553;92 x 73;2006/09;;BC;DHM553;.HEIC
554;60 x 92;2006/08;Kaki;B;DHM554;.HEIC
555;73 x 60;2006/08;Kaki;B;DHM555;.HEIC
556;60 x 60;2006/08;;Martha's Vineyard Mass;DHM556;.HEIC
557;65 x 54;2006/08;Kaki;P;DHM557;.HEIC
558;92 x 73;2007/09;Bleu;B;DHM558;.HEIC
559;81 x 65;2007/09;Bleu;BH Vendu;DHM559;.HEIC
560;81 x 65;2007/09;Bleu;BH Vendu;DHM560;.HEIC
561;100 x 73;2007/09;;BC;DHM561;.HEIC
562;;2007/11;;L. Edwardes-Ker;DHM562;.HEIC
563;73 x 92;2007/10;Bleu;P;DHM563;.HEIC
564;81 x 65;2007/11;Bleu;BH Vendu;DHM564;.HEIC
565;65 x 81;2007/11;Bleu;P;DHM565;.HEIC
566;73 x 60;2007/09;;BC;DHM566;.HEIC
567;81 x 60;2007/09;;BC;DHM567;.HEIC
568;80 x 80;2007/09;;BC;DHM568;.HEIC
569;81 x 65;2007/09;;BC;DHM569;.HEIC
570;81 x 65;2008/10;Bleu marine;B;DHM570;.HEIC
571;;;;;DHM571;.HEIC
572;73 x 92;2008/11;;Martha's Vineyard Mass;DHM572;.HEIC
573;65 x 81;2008/10;Mauve;B;DHM573;.HEIC
574;65 x 81;2008/10;Rose;B;DHM574;.HEIC
575;60 x 73;2008/10;;Chilmark Public Library;DHM575;.HEIC
576;60 x 81;2008/10;;BC;DHM576;.HEIC
577;60 x 92;2008/11;Bleu;B;DHM577;.HEIC
578;92 x 73;2008/11;;BC;DHM578;.HEIC
579;;;;;DHM579;.HEIC
580;;;;;DHM580;.HEIC
581;50 x 73;2008/16;Gris;P;DHM581;.HEIC
582;80 x 80;2010/12;;BC;DHM582;.HEIC
583;;;;;DHM583;.HEIC
584;81 x 65;2009/13;;BC;DHM584;.HEIC
585;;;;;DHM585;.HEIC
586;60 x 81;2009/12;;BC;DHM586;.HEIC
587;65 x 81;2009/12;;BC;DHM587;.HEIC
588;116 x 73;2009/11;;BC;DHM588;.HEIC
589;60 x 73;2009/12;Bleu;B;DHM589;.HEIC
590;;;;;DHM590;.HEIC
591;60 x 60 ;2010/11;Kaki;P;DHM591;.HEIC
592;60 x 60;2010/11;Kaki;P;DHM592;.HEIC
593;73 x 92;2010/17;Bleu;B;DHM593;.HEIC
594;60 x 92;2010/15;Bleu;Emeric Hahn;DHM594;.HEIC
595;;;;;DHM595;.HEIC
596;80 x 80;2010/17;Bleu;B;DHM596;.HEIC
597;;;;;DHM597;.HEIC
598;60 x 60 ;2013/17;Bleu;P;DHM598;.HEIC
599;60 x 73;2010/15;;BC;DHM599;.HEIC
600;;;;;DHM600;.HEIC
601;;;;;DHM601;.HEIC
602;81 x 54;2010/15;;BC;DHM602;.HEIC
603;60 x 73;2010/12;;BC;DHM603;.HEIC
604;;;;;DHM604;.HEIC
605;Ov 46 x 55;;Vert;B;DHM605;.HEIC
606;73 x 92;2011/16;Vert;B;DHM606;.HEIC
607;;;;;DHM607;.HEIC
608;65 x 81;2011/16;;BC;DHM608;.HEIC
609;81 x 60;2011/15;;BC;DHM609;.HEIC
610;80 x 80;2012/16;;BC;DHM610;.HEIC
611;92 x 60;2012/14;;BC;DHM611;.HEIC
612;60 x 60;2012/16;Kaki;B;DHM612;.HEIC
613;54 x 81;2012/14;;BC;DHM613;.HEIC
614;60 x 60 ;2012/17;Kaki;P;DHM614;.HEIC
615;81 x 65 ;2012/15;Kaki;B;DHM615;.HEIC
616;81 x 65;2012/15;Kaki;B;DHM616;.HEIC
617;73 x 60;2013/14;;BC;DHM617;.HEIC
618;73 x 60;2013/14;;Mike Powell, Marblehaed, Mass;DHM618;.HEIC
619;;;;;DHM619;.HEIC
620;60 x 73;2014;Mauve;P;DHM620;.HEIC
621;81 x 65;2014;Bleu;B;DHM621;.HEIC
622;60 x 60;2014;Mauve;B;DHM622;.HEIC
623;81 x 60;2014;Mauve;B;DHM623;.HEIC
624;92 x 73;2014;Bleu;B;DHM624;.HEIC
625;60 x 73;2014/16;Bleu intense;B;DHM625;.pdf
626;92 x 60;2014/16;;BC;DHM626;.HEIC
627;54 x 81;2014/16;;American Library in Paris;DHM627;.HEIC
628;80 x 80;2014/17;Bleu;B;DHM628;.HEIC
629;65 x 81;2015/16;Bleu;B;DHM629;.pdf
630;60 x 60;;Bleu ciel;B;DHM630;.HEIC
631;73 x 60;2015/16;Bleu;P;DHM631;.HEIC
632;81 x 65;2015/16;Bleu;B;DHM632;.HEIC
633;;;;;DHM633;.HEIC
634;92 x 73;2015/16;Mauve;B;DHM634;.HEIC
635;92 x 60;2005/16;Bleu;B;DHM635;.HEIC
636;54 x 81;2015/16;Mauve;B;DHM636;.HEIC
